scale,model_family,variant,macro_f1,class1_recall,class1_f1
Enron_10000,DistilBERT,late_fusion_text_plus_metadata,0.6397982870407428,0.8,0.3076923076923077
Enron_10000,DistilBERT,weighted_loss,0.7631133671742809,0.5333333333333333,0.5333333333333333
Enron_10000,LogisticRegression,metadata_only,0.506934064108952,0.8666666666666667,0.1203703703703703
Enron_10000,LogisticRegression,text_plus_metadata,0.692282289719977,0.9333333333333332,0.4057971014492754
Enron_10000,TFIDF_LR,balanced,0.7209986557207958,0.9333333333333332,0.4590163934426229
Enron_50000,DistilBERT,late_fusion_text_plus_metadata,0.6753762141162576,0.8266666666666667,0.3723723723723723
Enron_50000,DistilBERT,weighted_loss,0.7889577414257487,0.6,0.5844155844155844
Enron_50000,LogisticRegression,metadata_only,0.5319259615609351,0.8533333333333334,0.1459521094640821
Enron_50000,LogisticRegression,text_plus_metadata,0.7381513485205551,0.9333333333333332,0.4912280701754385
Enron_50000,TFIDF_LR,balanced,0.7354361156873512,0.9333333333333332,0.4861111111111111
Enron_100000,DistilBERT,late_fusion_text_plus_metadata,0.7475873290113171,0.8691099476439791,0.5115562403697997
Enron_100000,DistilBERT,weighted_loss,0.8472342955743479,0.6282722513089005,0.6997084548104956
Enron_100000,LogisticRegression,metadata_only,0.5587576716870052,0.806282722513089,0.1893054701905347
Enron_100000,LogisticRegression,text_plus_metadata,0.7652383769520429,0.9109947643979056,0.5454545454545454
Enron_100000,TFIDF_LR,balanced,0.7607165392400292,0.8848167539267016,0.5365079365079365
